#,CBU,Project Name,Type of Project,Description,Brand,Project Phase,R&I Lead,05 Launch Date,# SKUs,Volume,NS (M EUR),%CO,Saving (KEUR),CO addi,Ipro Type,Decision forum,Status,FTE AOP,Comments
1,Waters,Box To Pack,New Pack 03 Development,Explore shrink wrap plastic to replace outer carton box of Mizone to get productivity saving - this is more on logistic study ,MIZONE,01 Ideate,Haydar,,1.0,,,,,,Quick Iproveiw,F4G,On track,,
1,Waters,BCP REPI Liquid Colorant,BCP,BCP new supplier colorant,AQUA,03 Develop,Haydar,,5.0,,,,,,Quick Iproveiw,F4G,On track,,
1,Waters,BCP Evergreen Paper,BCP,BCP new paper mill supplier Evergreen ,AQUA,03 Develop,Haydar,,2.0,,,,,,Quick Iproveiw,F4G,On track,,
1,Waters,Festive Label,Artwork change,Artwork change of AQUA festive session,AQUA,05 Launch,Haydar,2026-02-01 00:00:00.000000000,4.0,,,,,,Quick Iproveiw,LIM Waters,On track,,
1,Waters,Artwork Label Changes,Artwork change,Artwork change on AQUA and Vit,AQUA,03 Develop,Haydar,,5.0,,,,,,Quick Iproveiw,LIM Waters,On track,,
1,SN,AURORA,New Pack 03 Development,"Bebelac Liquid Format (Bricks, Strawberry)",Bebelac,05 Launch,Indi,2026-03-01 00:00:00.000000000,3.0,,0.0176,23.3,,3.6,Full Iproview,LIM CBU,Delay,,Potential delay due to material incoming issue
1,SN,BOLT,Artwork change,SGM Productivity RM (change composition & NF),SGM,03 Develop,"Feby, Indi",2026-07-01 00:00:00.000000000,45.0,,0.0864,32.6,,2.1,Full Iproview,LIM SN,On track,,
1,SN,BOLT 2.0,Artwork + Pack validation,SGM Special Pack for IDM & SAT (defend shelf),SGM,05 Launch,"Feby, Indi",2026-04-01 00:00:00.000000000,8.0,,0.0335,14.9,,-5.2,Quick Iproveiw,LIM SN,On track,,latest bizcase using variable margin instead of CO
1,SN,BLINK (Degram 620 to 600),Productivity,Bebelac reduce net weight for IFFO,Bebelac,05 Launch,Feby,2026-02-01 00:00:00.000000000,2.0,,0.133,52.5,,9.2,Quick Iproveiw,LIM SN,On track,,just finished
1,SN,BLINK (775 & Add VI),Productivity,Bebelac Can 800 to BIB 775 + new comm for GUM,Bebelac,03 Develop,"Feby, Indi",2026-05-01 00:00:00.000000000,18.0,,,,,,Full Iproview,LIM SN,On track,,
1,SN,GARUDA 3.0,Artwork + Pack validation,SGM New Engine & VI (Ironbiotics),SGM,03 Develop,"Feby, Indi, Aurel",2026-10-01 00:00:00.000000000,45.0,,0.7207,26,,3,Full Iproview,LIM SN,On track,,
1,SN,IRONMAN,New Pack 03 Development,"SGM Liquid Format (Bricks, Choco)",SGM,02 Define,Indi,2026-10-01 00:00:00.000000000,1.0,,0.0301,13.7,,2.9,Full Iproview,LIM CBU,On track,,"Already trial etc before concept test, bricks config to accelerate
Trial need to be at Apr, Transport at May-Jun"
1,SN,HIMALAYA,New Pack 03 Development,"SGM Affordable Format (Pouch & Sachet, Choco)",SGM,03 Develop,"Feby, Indi",2026-07-01 00:00:00.000000000,2.0,,0.0108,4.7,,0.5,Full Iproview,LIM CBU,On track,,"Pouch: Transport haven't happened, Sachet: Trial and transport haven't happened"
1,SN,ORELIA,Artwork + Pack validation,Bebelac Gold New Engine & VI (TBC),Bebelac Gold,01 Ideate,"Feby, Indi",,3.0,,,,,,Full Iproview,LIM SN,On track,,
1,SN,WAFFLE (PILOT),DIJ,Recyclable Sachet in BIB (VMOPP/LLDPE) for B1+ 175 & 600g,Bebelac,03 Develop,Khomas,2026-07-01 00:00:00.000000000,2.0,,,,,,Full Iproview,F4G,On track,,
1,SN,WAFFLE (ROLLOUT),DIJ,Recyclable Sachet in BIB (VMOPP/LLDPE) for ALL SKU,ALL BIB SN,01 Ideate,Khomas,,125.0,,,,,,Full Iproview,F4G,On track,,
1,SN,TOFU,New Pack 03 Development,High Protein Liquid Format (Bricks),HiPro,02 Define,Indi,1970-01-01 00:00:00.000002027,1.0,,0.0216,27.3,,6.4,Full Iproview,LIM CBU,On track,,
1,SN,GOLDEN GRAIN,Artwork + Pack validation,SGM Soya New Engine & VI (Ironbiotics),SGM Soya,02 Define,Feby,,7.0,,0.0613999999999999,36.1,,-1,Full Iproview,LIM SN,On track,,
1,SN,TRUE BLUE & MULAN,Artwork + Pack validation,Nutrilon Royal New Engine & VI (ActiSynBio),Nutrilon,04 Implement,Feby,2026-04-01 00:00:00.000000000,18.0,,0.1212999999999999,63.5,,3,Full Iproview,LIM SN,Delay,,Potential delay for NR3 due to FOS:GOS naming
1,SN,CHRYSALIS,Artwork change,Nutrinidrink Higher PER Ratio,Nutrinidrink,05 Launch,Feby,2026-02-01 00:00:00.000000000,2.0,,0.017,69.2,,1.9,Full Iproview,LIM SN,Delay,,"Delay for 400g, due to slow stock movement. 800g on time Feb 2026"
1,SN,LAVENDER (PILOT),Artwork + Pack validation,"Bebelac Gold in Cereals format, pilot only",Bebelac Gold,03 Develop,Feby,2026-07-01 00:00:00.000000000,3.0,,0.0004,-32.9,,0,Quick Iproveiw,LIM SN,On track,,
1,SN,MAXXIGROW,Artwork + Pack validation,"SGM Maxxigrow (New Territory, between Core & Optigrow)",SGM Maxxigrow,01 Ideate,Indi,,1.0,,,,,,Full Iproview,LIM SN,On track,,
1,SN,VISTA,Artwork + Pack validation,Nutrilon Royal Revamp for Aligned Global VI + Premiumization,Nutrilon,01 Ideate,Feby,,10.0,,,,,,Full Iproview,LIM SN,On track,,
1,SN,RU_BCP BASE POWDER,BCP,(Russia) Supply Base Powder IFFO & GUM,,04 Implement,Feby,2026-07-01 00:00:00.000000000,5.0,,,,,,Quick Iproveiw,F4G,On track,,
1,SN,SG_LATTE,Artwork change,(Singapore) Return Dulac SKU from production Bangplee to Sentul,Dulac (SG),02 Define,Feby,2026-10-01 00:00:00.000000000,2.0,,,,,,Quick Iproveiw,F4G,Postponed,,
1,SN,EXPORT_TEMPLE,Artwork change,(ALL Export) Change entity to PT. Sarihusada,"Aptamil, Cow & Gate (ME)",02 Define,Feby,,35.0,,,,,,Full Iproview,F4G,On track,,
1,SN,LK_COMPLIANCE,Artwork change,(Srilanka) Change Artwork to compliance,Cow & Gate (LK),05 Launch,Feby,2026-03-01 00:00:00.000000000,12.0,,,,,,Full Iproview,F4G,On track,,
1,SN,IN_LALRU DEX 1,Artwork + Pack validation,(India) Capacity building impact - to produce Dex 1,Dexolac (IN),01 Ideate,Feby,,1.0,,,,,,Full Iproview,F4G,On track,,
1,SN,IN_LALRU BCP DEX 3 & 4,Artwork change,(India) Capacity building impact - to produce Dex 3 & 4,Dexolac (IN),03 Develop,Indi,2026-04-01 00:00:00.000000000,2.0,,,,,,Full Iproview,F4G,On track,,
1,SN,ANZ_KARICARE NEW VI,Artwork + Pack validation,(Australia) New VI for Karicare Soya + become flat wall,Karicare Soy (ANZ),03 Develop,Feby,2026-08-01 00:00:00.000000000,1.0,,,,,,Full Iproview,F4G,On track,,
1,SN,NG_WHITE,New Pack 03 Development,(Nigeria) Printed Pillow & Sachet Pack with SGM GUM formula,Fanmilk (NG),02 Define,Indi,1970-01-01 00:00:00.000002027,2.0,,,,,,Full Iproview,F4G,Postponed,,high chance stopped
